Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000005 
2,1.999999999995620 1.999999999995600 1.999999999994270 
6,6.000624397792730 6.000624397792740 6.001178228587800 6.001780182685660 6.001780182685670 
12,12.003337575370100 12.003355610090900 12.006884562912401 12.006884562912500 12.007161057233899 12.007161057233899 12.008452637805100 
20,20.010390008028299 20.010390008028399 20.017336760498999 20.019296657205501 20.020754749050798 20.020754749050798 20.025304215261201 20.025977534102999 20.025977534103099 
30,30.024479218533099 30.024479218533202 30.039205814088099 30.039205814088302 30.045584715937000 30.045807755124500 30.057819087927498 30.057819087927601 30.060264330657201 30.060264330657301 30.065075371331801 
42,42.048463599583599 42.049836824967201 42.073891716831803 42.073891716832001 42.085603828966804 42.085603828966804 42.108003254578001 42.109423960713201 42.117237370717298 42.117237370717298 42.127207403537803 42.129675389495503 42.129675389495503 
56,56.088312743541998 56.088312743542303 56.125642850532600 56.129480958803001 56.145617530325701 56.145617530325900 56.183409722654702 56.183409722655000 56.200874655065000 56.202668314825402 56.226095757625998 56.226095757626901 56.230610264375699 56.230610264376303 56.238692660943499 
72,72.146773471204597 72.146773471204696 72.205505262159804 72.205505262160003 72.227055852073093 72.237179808467005 72.287074307506700 72.287074307506998 72.321169202939899 72.321169202940098 72.358560837401697 72.363256893698804 72.377358626728906 72.377358626729006 72.395539156575595 72.395539156575794 72.395613876385497 
90,90.228887451409705 90.230489673252904 90.313934767096399 90.313934767096498 90.351270017383399 90.351270017383996 90.419821829684906 90.432206938006402 90.481420579995898 90.481420579996495 90.542354356457295 90.542354356457807 90.574247302661107 90.576001371073005 90.609146303093596 90.609146303093794 90.621332963086502 90.621332963086999 90.631141021662899 
