Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000000 
2,1.999999979254270 1.999999899367200 1.999999899367170 
6,6.000000087641950 6.000000111683080 6.000000111683130 5.999999777557230 5.999999777557210 
12,11.999999974918500 12.000000147483499 12.000001018534901 12.000001018534901 12.000001766024299 12.000001766024400 12.000002574328700 
20,20.000001612656298 20.000001612656298 20.000003820416101 20.000005137078599 20.000007833100302 20.000007833100401 20.000010603249901 20.000011039081901 20.000011039082001 
30,30.000006329182099 30.000006329182199 30.000013842420501 30.000013842420600 30.000023228020801 30.000023283999500 30.000032450104101 30.000032450104200 30.000035215957400 30.000035215957400 30.000040200034999 
42,42.000016946875398 42.000018574071099 42.000034657871701 42.000034657871701 42.000056305692297 42.000056305692297 42.000075389883101 42.000079490957297 42.000089121776199 42.000089121776298 42.000102465967601 42.000105325530697 42.000105325530697 
56,56.000041583829201 56.000041583829201 56.000075131253702 56.000076085714099 56.000119274072503 56.000119274072603 56.000161086914403 56.000161086914503 56.000192631329099 56.000193320911698 56.000228575143304 56.000228575143304 56.000239652063399 56.000239652063499 56.000254745389199 
72,72.000086703220603 72.000086703220603 72.000149462951100 72.000149462951100 72.000221506513995 72.000238696499196 72.000304252339205 72.000304252339205 72.000374757188595 72.000374757188595 72.000433019522902 72.000452308880796 72.000484502566195 72.000484502566295 72.000523069970299 72.000523069970399 72.000524876380695 
90,90.000163011268597 90.000169166153597 90.000274267777499 90.000274267777598 90.000412762595502 90.000412762595502 90.000529416597601 90.000544276791402 90.000669098110393 90.000669098110507 90.000788030723498 90.000788030723498 90.000885469111907 90.000889048126595 90.000970834509900 90.000970834509900 90.001007776204304 90.001007776204403 90.001034631615894 
