Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000011 
2,2.000121765974086 2.000177237565609 2.240197057650207 
6,6.001190392080093 6.001194180890862 6.002312271825510 6.003129509296548 6.843023615788105 
12,12.004746319910513 12.008257261499640 12.008814555457260 12.009846636698530 12.016525902677973 12.052956614855882 18.008891125037678 
20,20.016394108593371 20.019912567390364 20.020854953718548 20.021334077957025 20.028347767231296 20.028931392580834 20.247300510367300 21.373860375692175 27.459551741030268 
30,30.027180285894087 30.042977167152905 30.048502384105614 30.051361342115129 30.057549132784104 30.062058199737773 30.065058608568421 30.072450987573028 30.074174798502614 30.101117998562977 30.390992630510894 
42,42.088390906339590 42.098081686231566 42.109882604990005 42.113890287799336 42.117247790688509 42.123901275076328 42.124356968189254 42.161231637151666 42.226480508676630 42.322793258038153 42.594605271526262 -43.710641799709272 51.535531569852651 
56,54.602069422251418 56.152954196632372 56.171902766593270 56.191548403902090 56.207336695121214 56.208512041582487 56.210713118195869 56.234518767734812 56.241884620059771 56.248118105095081 56.338519523958688 57.019434531809893 58.744824416785903 59.874681480760124 61.053967514416158 
72,61.284725706900332 72.153607828255758 72.268482120138984 72.325740631535965 72.326307106864675 72.332937922948034 72.338576177460368 72.354841455484831 72.405853849872685 72.409104954235715 72.521917185506368 73.446998085835645 73.856921030448675 75.023095903727381 79.184319315204945 87.338670112076741 88.131637080861168 
90,90.311627077480082 90.322357457026257 90.323482735945916 90.387003977834013 90.459999205107906 90.596659859835270 90.618009952676843 90.623264481297184 90.631289227159172 90.632653629082540 90.681933141074396 91.814546968412856 92.713561210693044 92.746747724761121 93.665853852374667 95.098091063842645 97.960873766852785 101.094524019000360 -103.858116145325397 
