Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000005577 
2,2.000642995885113 2.000642995886325 2.003330432505170 
6,6.007644926122079 6.007644926122705 6.013324535279706 6.028744453870441 6.028744453870953 
12,12.030228156220764 12.053333669300251 12.076583403410620 12.076583403410810 12.148983769081571 12.148983769083717 12.187303199831881 
20,20.137452752438481 20.137452752439156 20.273841333889230 20.381134878710274 20.381134878710487 20.381802337900844 20.526995662781236 20.669629431361539 20.669629431362210 
30,30.306751187144968 30.306751187145125 30.778802073458596 30.778802073459200 30.828113858402929 31.442959236476426 31.442959236476767 31.537612574306642 31.624472481492329 31.698120461212774 31.698120461212994 
42,42.557121861021940 42.956113153164807 42.989392022490030 42.989392022490712 44.806765883898251 44.806765883899367 45.072013404738655 45.236073729923199 45.716699190235389 45.716699190236405 45.862526794329042 45.996686415230897 45.996686415232439 
56,57.353665192728776 57.353665192732194 58.055539656430128 59.623993242148309 59.623993242149929 59.759048093382063 61.691787041475045 62.245527674645238 62.245527674648798 63.644197957784058 63.711317802287965 63.711317802288193 64.224069490323927 64.224069490324155 65.809863533193422 
72,75.107974629172119 75.107974629174720 77.689232017260821 77.689232017262214 79.134835882118864 79.627053419046021 80.082501745292319 80.082501745292490 83.846733963838531 84.053131597475755 84.303080750216921 84.303080750220616 86.415588582081682 86.415588582084567 88.994144827359420 88.994144827361254 90.924555710609340 
90,94.047995582857936 96.041174653278674 100.143845073549628 100.143845073550551 104.950418598965157 104.950418598971254 106.160591782878214 106.438254734448080 106.438254734450595 107.876920894366137 109.566641160842266 110.017365624459131 110.017365624459799 114.282061049736043 114.282061049737734 114.687554297244745 114.970348223948065 118.588760110526849 118.588760110529819 
