Real Eigenvalue,Numerical Eigenvalues
0,0.000000000001871 
2,2.001952069531968 2.002826940019536 2.002826940021055 
6,6.019017364024353 6.019017364025730 6.034444453502467 6.037846639976005 6.037846639977717 
12,12.070451386226058 12.071702064684281 12.131822873923953 12.131822873925408 12.146483884073183 12.146483884073371 12.163282270579874 
20,20.194219584109700 20.194219584111366 20.327144586327908 20.338442208040163 20.379758897897901 20.379758897898075 20.469352272037998 20.470108949051873 20.470108949052225 
30,30.432849015772693 30.432849015773066 30.688114471561459 30.688114471562201 30.792521643417029 30.802906415009396 31.013884401226953 31.013884401228704 31.066697709576161 31.066697709577053 31.126076876565577 
42,42.809544059927312 42.886217274859987 43.268727643700942 43.268727643702064 43.455273386819037 43.455273386819037 43.829216745004302 43.905122085178526 44.016300271292998 44.016300271294995 44.193756404988548 44.228254795454866 44.228254795455904 
56,57.507465642358973 57.507465642359364 58.146380498850291 58.159175539154326 58.440071253612722 58.440071253613674 59.117326092818104 59.117326092818509 59.390116571637904 59.419031651441735 59.840649930639003 59.840649930640936 59.917434713902217 59.917434713902594 60.090623919892835 
72,74.488974272105111 74.488974272106361 75.439558173734298 75.439558173734852 75.736740602944337 75.985168118885653 76.821434655799550 76.821434655799621 77.380117852363512 77.380117852364023 78.003982335491685 78.121722141656335 78.349538964320871 78.349538964322022 78.697418052048647 78.697418052048860 78.749271381234792 
90,93.807877498436454 93.943968368304240 95.208867933098034 95.208867933098460 95.815219097496055 95.815219097496495 97.097115731858167 97.116127950033274 97.965818426523924 97.965818426524109 99.034199551684537 99.034199551685447 99.536990550336654 99.711005668573435 100.139987643979282 100.139987643979381 100.597517678695880 100.613735728622871 100.613735728623453 
