Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000116 
2,2.000034388815463 2.000034388815873 2.000164228160484 
6,6.000453822452420 6.000453822452613 6.000964033806300 6.001347865219090 6.001347865219117 
12,12.002408078027949 12.002443951605530 12.005504735722546 12.005504735722974 12.008115801954219 12.008115801955242 12.009761233013025 
20,20.008571134274888 20.008571134275478 20.016183861630765 20.019761681653900 20.029872199054832 20.029872199056125 20.036480414324373 20.036480414325123 20.040634079992490 
30,30.024365016958242 30.024365016958242 30.047256323263429 30.047256323263674 30.071479370417745 30.087349999529291 30.099465344019240 30.099465344019613 30.122223229474073 30.122223229474791 30.123364385728721 
42,42.055665574988048 42.063598977616522 42.108201058691975 42.108201058692053 42.175353301639703 42.175353301640122 42.217479715840589 42.226837109311923 42.266509861511175 42.266509861511231 42.317071832718021 42.317071832718923 42.336822676578954 
56,56.128310773480834 56.128310773481545 56.193072703761636 56.243452477723167 56.343014629474929 56.343014629475981 56.420898734817982 56.420898734818067 56.494120760173942 56.580414939556405 56.580414939557272 56.586746929187427 56.713822238561526 56.783929894989008 56.783929894989512 
72,72.249899267874781 72.249899267874810 72.406993387249443 72.406993387250282 72.614927913527524 72.656296122037546 72.717137679969596 72.717137679969994 72.833798982780536 72.890896080186209 72.890896080186835 73.213807988102033 73.284639918331806 73.284639918334037 73.563629099347281 73.563629099347281 73.671652459779182 
90,90.445277684752384 90.453025430532605 90.709173099256077 90.709173099256347 91.054795531962867 91.054795531963180 91.107058389015904 91.307388056569195 91.462246556647187 91.462246556648950 91.654505584388076 91.654505584388303 91.692783092424236 92.325612894005801 92.325612894006383 92.588447059489781 93.028321877203666 93.067594387088107 93.067594387089272 
