Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000001 
2,1.999660614208774 1.999694918975900 1.999711925414111 
6,5.999229161762477 5.999383463606755 5.999421802619723 5.999496898800087 5.999545451821454 
12,12.001233918293600 12.001262924067017 12.001506710374532 12.002006040165586 12.002090511792417 12.002572248292349 12.003183330754952 
20,20.012801990607898 20.014023074010627 20.014420891215337 20.015179328306829 20.016211458973757 20.017294695442668 20.018352221728534 20.019227340706379 20.020325787483976 
30,30.051055025900506 30.054320467503416 30.055637009554690 30.057603658520151 30.060406359612507 30.063111078132891 30.064033724777111 30.066037956785927 30.067021276990815 30.071030573541258 30.081050367278976 
42,42.142445075605401 42.154651124605572 42.155932583712087 42.162302814356593 42.164490871308203 42.168246180868152 42.172732392064681 42.176142122270427 42.180006388211751 42.183781924056007 42.192605367458057 42.208018393226524 42.246081733495018 
56,56.341837602031227 56.351763088995732 56.359486871533399 56.370640169229141 56.372986364098601 56.377472573883402 56.390390203540591 56.406132990504517 56.413382982592545 56.434130514991452 56.450797366425100 56.460534921463683 56.467045618634529 56.495014740858842 56.572832801289124 
72,72.677476422953774 72.700568248519161 72.715450167633506 72.752723676223127 72.766935625944299 72.777666335950499 72.793094684451944 72.810960456719528 72.830733293687445 72.857659381326457 72.892798794784781 72.921163143139438 72.941084402060810 72.951167114021374 72.980479127030208 73.051699835322978 73.289781156132506 
90,91.248006185888016 91.259010861257238 91.302294072313913 91.337472678616990 91.368192942048680 91.463882643769210 91.510730653577340 91.551405434417447 91.577366068343693 91.613267226070931 91.631590786830571 91.639056175759251 91.683560013176162 91.775679418509299 91.813829122899008 91.830576958046422 91.933570345404007 92.014704294492645 92.524873599369045 
110,112.026182338546505 112.171199751411194 112.194325142580226 112.346977153386561 112.395869515403731 112.454495004013481 112.510254796167700 112.652753765934349 112.683555429151099 112.704798751236765 112.795146322710806 112.840890596399959 112.914945641408920 112.954461330993070 113.082178771481381 113.179523673489228 113.212866994223475 113.335336050968536 113.584059615410737 114.095965449714924 114.224018577680340 
