Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000032 
2,2.032076529013092 2.046942230064724 2.046942230064747 
6,6.310696439443297 6.310696439443307 6.557190271915299 6.679959002030452 6.679959002030457 
12,13.123341423365018 13.168631606322833 14.181553623643373 14.181553623643389 14.575677994225614 14.749097945938468 14.749097945938496 
20,22.977809639135181 22.977809639135188 24.928659938208785 26.356556999093286 27.092245259293410 27.092245259293449 27.880912023500798 27.880912023500802 28.024581691947031 
30,35.860827961721711 35.860827961721753 40.739189620144415 40.739189620144423 40.783953689390621 44.323254378401593 44.726234888538769 44.726234888538841 51.078785514349796 51.078785514349832 51.269771801019871 
42,53.036719979749414 54.095170625271372 54.095170625271372 57.578394940400536 66.584786268697002 67.511757834646190 67.511757834646218 72.370012443663924 74.441216390427073 74.441216390427130 75.814325918996218 75.814325918996232 82.057990348036000 
56,82.391150298094615 83.154549971961345 83.154549971961387 89.835266735639991 89.835266735640033 91.293219403003505 97.016095913048460 104.273832042709557 104.273832042709557 106.330259157781342 106.330259157781413 114.133237078192636 114.380260786037894 115.159380823157036 115.159380823157235 
72,122.373423292547386 123.641021263493201 123.641021263493357 138.303828326211459 175.608310841868388 192.423954362108361 196.680133664033093 196.680133664033121 198.268427827424858 198.268427827425171 225.614686413853633 227.732313396221684 228.172704461023415 228.172704461023415 232.734998510133465 232.734998510133664 237.372261166225258 
90,250.803349558188273 250.803349558188330 261.996639756437162 261.996639756437162 290.388813350562600 342.035146698059407 342.035146698059634 355.681826909003689 355.681826909003973 388.266709754802889 388.517971983652217 537.396978590564117 537.396978590564572 537.540724816198804 537.540724816199031 547.101735025556536 562.509322699311838 1000.360023878302627 1000.380830993478639 
