Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000004 
2,1.999999999993610 1.999999999993580 1.999999999991530 
6,5.999999999981780 5.999999999981740 5.999999999977020 5.999999999977010 5.999999999975540 
12,12.000000693712201 12.000001264302499 12.000001519362600 12.000001519362600 12.000001523459201 12.000002062056700 12.000002062056700 
20,20.000007478422599 20.000007478422699 20.000008117744098 20.000011265296600 20.000011265296600 20.000011638136101 20.000012835119300 20.000014372844799 20.000014372844799 
30,30.000031102112100 30.000032866750502 30.000032866750502 30.000037780593701 30.000037780593701 30.000048421026602 30.000048421026602 30.000049609838999 30.000052446683899 30.000052446683998 30.000062439477201 
42,42.000089170919999 42.000099354392098 42.000104167562803 42.000104167562903 42.000113879893298 42.000127480877801 42.000127480877900 42.000143337042900 42.000143337042900 42.000148074932298 42.000169480830301 42.000169480830301 42.000181698597302 
56,56.000225722100403 56.000247619759897 56.000247619760103 56.000268378090198 56.000268378090396 56.000305253039897 56.000305253039997 56.000307366688801 56.000338098905203 56.000365229562398 56.000398181758101 56.000398181758300 56.000414676905798 56.000427511193301 56.000427511193500 
72,72.000513578493695 72.000520331112199 72.000520331112199 72.000598411663901 72.000598411664001 72.000617170139193 72.000618817919403 72.000618817919502 72.000762261248298 72.000762261248397 72.000846152721493 72.000855755210594 72.000855755210594 72.000860667640495 72.000895849656203 72.000925828670901 72.000925828671001 
90,90.000995098985499 90.001047528580202 90.001047528580301 90.001116856204106 90.001116856204106 90.001170770440197 90.001211674807294 90.001355354586906 90.001484411786706 90.001484411786706 90.001540357727507 90.001656232959405 90.001656232959505 90.001688013513103 90.001688013513103 90.001746405825401 90.001746405825401 90.001746752438194 90.001902559313294 
