Real Eigenvalue,Numerical Eigenvalues
0,0.000000000011319 
2,1.999999999998179 2.000000000000689 2.000000000030251 
6,6.002467831119534 6.002467831129259 6.004594271442797 6.007122631533067 6.007122631555098 
12,12.012983540240501 12.013085806765289 12.026856994721618 12.026856994746844 12.028312681578390 12.028312681579326 12.033672612679341 
20,20.040414909014039 20.040414909017297 20.066313047416941 20.075588558669857 20.081280777903974 20.081280777920163 20.100450724586874 20.102824593747897 20.102824593749851 
30,30.095010284740638 30.095010284740731 30.151976735668832 30.151976735672278 30.173115873878764 30.180473153211864 30.227255143618681 30.227255143630845 30.239441746793386 30.239441746795304 30.258115358633848 
42,42.184103488184910 42.196511275688984 42.287133456027654 42.287133456035100 42.327695721377061 42.327695721380586 42.415048767852092 42.432513852548659 42.464534344458549 42.464534344461157 42.506797460596886 42.514240143646624 42.514240143648571 
56,56.341481379686563 56.341481379687345 56.491290835054656 56.498638411673191 56.556859639721253 56.556859639723896 56.711603817761151 56.711603817770644 56.776849230135639 56.810135210965079 56.893093835573879 56.893093835575485 56.918507813501002 56.918507813503354 56.951610674337481 
72,72.565630646352858 72.565630646354464 72.798200425378269 72.798200425382007 72.866775380124579 72.910689275763744 73.108811644606320 73.108811644613269 73.255416011464433 73.255416011473997 73.415054118905090 73.431567040288598 73.496838892809606 73.496838892814026 73.573549299480419 73.579767681356387 73.579767681358618 
90,90.844020479835095 90.920145222577787 91.215722319174191 91.215722319175470 91.348760303932821 91.348760303942129 91.627219156595686 91.659295864925383 91.876730073112014 91.876730073123966 92.130891541635663 92.130891541647216 92.244396170601775 92.306166655031987 92.424309450444625 92.424309450446103 92.479377265539327 92.479377265539483 92.519339621328598 
