Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000014 
2,1.999999905430734 1.999999913931799 1.999999919819945 
6,5.999999786356341 5.999999806338988 5.999999811149585 5.999999820043906 5.999999847970289 
12,12.000000357762596 12.000000372867472 12.000000410641908 12.000000454873989 12.000000471661908 12.000000489961744 12.000000554013555 
20,20.000004068130998 20.000004085021715 20.000004222945400 20.000004253578787 20.000004362186008 20.000004437676758 20.000004492150065 20.000004605903051 20.000004963143731 
30,30.000016600815275 30.000017065182174 30.000017202589188 30.000017307553417 30.000017549400962 30.000017883301702 30.000018156868723 30.000018335185388 30.000018365907909 30.000018651785368 30.000019058164249 
42,42.000050342351514 42.000050861114126 42.000051005105803 42.000051156367093 42.000051557099681 42.000051894267166 42.000052271161941 42.000052701741154 42.000053075036483 42.000054343054259 42.000054564980822 42.000056020249879 42.000058146312320 
56,56.000123016005325 56.000124321957031 56.000126025842235 56.000126227272112 56.000127275238448 56.000128528997891 56.000129780183819 56.000130355087414 56.000130937452425 56.000131967944775 56.000132670045595 56.000133495046526 56.000135784672452 56.000137792360825 56.000141231467325 
72,72.000267853277123 72.000269555715306 72.000270635184975 72.000273395000107 72.000275344931211 72.000277422045997 72.000279632885977 72.000281610195344 72.000283141889298 72.000286394215877 72.000288222818483 72.000289725600254 72.000291973459028 72.000295249131739 72.000296703867747 72.000298723792895 72.000306940978561 
90,90.000523991790104 90.000534940278584 90.000541119433038 90.000542737275737 90.000545831047148 90.000548803718274 90.000550663175943 90.000553582438798 90.000557102225599 90.000560331121264 90.000567166546958 90.000568376531604 90.000569968991272 90.000572567669039 90.000580761522500 90.000584674042827 90.000589313920429 90.000600022975135 90.000613959109856 
110,110.000971362224931 110.000978566909794 110.000992393000672 110.001001574733721 110.001004456632174 110.001006998641628 110.001009932264793 110.001015403344496 110.001018563640656 110.001023331092938 110.001028873326192 110.001037943511889 110.001045361927709 110.001055669521705 110.001057617260045 110.001063637773456 110.001076166545957 110.001091769835512 110.001097579162078 110.001111351354893 110.001125016111757 
