Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000021 
2,1.999999999796123 1.999999999796129 2.000000000407755 
6,5.999999998312675 5.999999999370281 5.999999999370316 6.000000001473350 6.000000001473368 
12,12.002896153664489 12.004943898017842 12.006814443464993 12.006814443465018 12.007165179600220 12.008158109180032 12.008158109180078 
20,20.026388667246405 20.026388667246408 20.034430749727942 20.051458566971025 20.056525000938734 20.056742517640352 20.056742517640405 20.061897568131460 20.061897568131545 
30,30.112034708811244 30.112034708811258 30.159240058512204 30.166040080559643 30.166040080559679 30.216363353642187 30.216363353642237 30.269365861890421 30.269365861890506 30.280496789971643 30.325573183197754 
42,42.265397896783000 42.434602903579190 42.456427003365825 42.456427003365881 42.555452096896040 42.578877482957232 42.578877482957395 42.623809028071157 42.743019175058677 42.854984740000525 42.854984740000660 43.173925053230782 43.173925053230839 
56,56.701146967418175 56.701146967418218 57.016346887424511 57.069062481226425 57.069062481226794 57.198484628195203 57.409491513563061 57.409491513563459 57.955279221545105 58.111099311978251 58.346633866110309 58.346633866110402 58.750548939554179 58.750548939555053 59.685781615612029 
72,73.365118971546281 73.365118971546565 74.153009124464475 74.153009124464603 74.621448146830076 74.740342337905545 74.906486755699234 74.906486755699348 76.267018266008847 76.404229950774592 76.404229950774976 77.099965910764766 77.099965910765945 77.159711729708832 78.978834160914886 78.978834160917529 80.145508503985212 
90,92.408700205881004 93.034453729183426 94.315375033737894 94.315375033738619 95.255150923027770 96.129972939886258 96.129972939887125 97.126288581396238 97.535111098634687 97.535111098635028 97.715527010487676 97.836708741986982 98.964950047745873 98.964950047748928 100.480185017787136 102.553337303036912 102.553337303040763 107.596221548438379 107.596221548439630 
