Real Eigenvalue,Numerical Eigenvalues
2,1.999999999708090 2.000000000144863 2.000000000145258 
6,6.039248056698900 6.039248056699043 6.071146368130400 6.119346842963854 6.119346842964614 
12,12.200847036013689 12.204046058579474 12.433326452254303 12.433326452254489 12.478256658987275 12.478256658987435 12.558594599247781 
20,20.627133764756412 20.627133764756508 21.017677131586613 21.322986700404559 21.374716330348697 21.374716330348775 21.674093592670669 21.718943322049615 21.718943322049764 
30,31.443264595658835 31.443264595659059 32.515666405066561 32.515666405066845 32.816970920749540 33.112872200484510 33.804952777033698 33.804952777034075 34.064016806020653 34.064016806021165 34.287803933288593 
42,44.568517636323762 45.164783412758432 46.581467614846225 46.581467614846858 47.463482395432180 47.463482395432308 48.764987671856268 
56,49.227431955021956 49.771266062063319 49.771266062063653 50.178311163044420 50.901664728298130 50.901664728298421 60.885507783780454 60.885507783780895 63.701580095597826 
72,64.334553323672353 65.118279115499831 65.118279115500059 67.470793158294541 67.470793158294711 67.498494626308997 69.853183159200370 70.424634213095771 70.424634213095814 72.241516173375729 72.241516173375842 73.198484229148079 80.418158682357316 80.418158682357543 
90,84.821157467877867 84.821157467877910 86.047625128110838 86.324031147522192 89.681049307226431 89.681049307226544 90.466052943095818 90.466052943095903 92.733603950691304 95.489641950682909 95.489641950683136 98.328482896365756 99.212115441387525 
110,101.938460872282903 101.938460872283116 103.192863974408482 103.366991751022127 108.565709573155416 108.565709573155786 111.329482120505503 111.329482120505588 112.725566115405854 117.248780534929949 118.099387003617522 118.099387003617750 
