Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000093 
2,1.999999999708673 2.000000000145609 2.000000000145652 
6,5.999999998363495 5.999999998363642 5.999999999000637 6.000000002136051 6.000000002136082 
12,12.000179971801112 12.000322460789910 12.000348920742571 12.000378838498225 12.000378838498365 12.000485277101495 12.000485277101559 
20,20.001794846673057 20.001794846673089 20.002258322934345 20.002858066051541 20.002858066051733 20.002901171437230 20.002998409355218 20.003328745481760 20.003328745482019 
30,30.007707606609614 30.007707606609809 30.007915957195106 30.010661367659687 30.010661367659697 30.011465634139032 30.011465634139281 30.012233385915501 30.012522936907853 30.012522936908105 30.015346385221569 
42,42.022898180728760 42.025521712723304 42.027092963051608 42.027092963051700 42.028781751595126 42.033138824959380 42.033138824959536 42.033419450650086 42.036141959729633 42.036141959729768 42.043242298084060 42.043242298084145 42.043313786539684 
56,56.059329335235056 56.059329335235162 56.062008389481285 56.073544784312034 56.078708559601296 56.078708559601395 56.085083596274501 56.085083596275190 56.087723178051796 56.092681846297914 56.098491265798032 56.098491265798039 56.102679559101617 56.104934430736840 56.104934430736868 
72,72.130414641379218 72.130414641379446 72.158428751092060 72.158428751092359 72.163162952467673 72.173298339288337 72.173298339288564 72.185674217777702 72.197628448376179 72.197628448376491 72.213481228921822 72.218871462176011 72.224724890777551 72.224724890778177 72.225905243213873 72.225905243214015 72.240452540989878 
90,90.240441000507488 90.269096870437124 90.307820379364685 90.307820379365339 90.328135774681186 90.329553031332395 90.329898631789831 90.329898631790229 90.380755546081787 90.380755546082540 90.432853418266973 90.433183262617106 90.433183262617192 90.441677818157942 90.483769863810934 90.483769863812128 90.489842408147183 90.508813564488293 90.508813564490296 
