Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000007 
2,1.999999999970570 2.000000000028310 2.000000000051760 
6,5.999999999933210 5.999999999940490 5.999999999994400 6.000000000001930 6.000000000036820 
12,12.000011666431000 12.000020383250501 12.000024586245299 12.000024898829700 12.000024898928100 12.000034279424099 12.000034279500600 
20,20.000121867977601 20.000121867992000 20.000131606614801 20.000188235821899 20.000188235928700 20.000189756600601 20.000204020148001 20.000235383589700 20.000235383595001 
30,30.000514523043002 30.000534231291901 30.000534231297301 30.000635177166899 30.000635177208501 30.000771041561300 30.000771041608100 30.000836697770900 30.000836697819100 30.000856733024300 30.001005770449300 
42,42.001507481905399 42.001703534368701 42.001703534414901 42.001717311092200 42.001835191963004 42.002110616548599 42.002110616601499 42.002251795643602 42.002251795666901 42.002377448999603 42.002783723862102 42.002842620264197 42.002842620345398 
56,56.003862326795797 56.004111416732599 56.004111416790600 56.004582450340202 56.004582450357397 56.004956561596103 56.005039906064198 56.005039906071097 56.005323914906903 56.005797341266799 56.006467734688400 56.006467734751901 56.006638150573600 56.006638150592700 56.006917456317701 
72,72.008857915819803 72.008963334553798 72.008963334578297 72.009879893147598 72.009879893151407 72.010331345886698 72.010338236595800 72.010338236625500 72.012070584992600 72.012070585026095 72.013635801444806 72.013719637853299 72.013867896810794 72.013867896823598 72.014537303484204 72.014537303510394 72.014642252227006 
90,90.017917125553794 90.017955110254206 90.017955110262307 90.019844415413601 90.019844415440105 90.019891442258995 90.020939288104898 90.021083517302102 90.023830292997800 90.023830293028794 90.025513830480804 90.025513830482197 90.026450871755998 90.026813348293302 90.026813348294993 90.027036684387596 90.028715385003494 90.028715385012006 90.029348076665300 
