Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000003 
2,1.999998404594411 1.999998606410647 1.999998650435718 
6,5.999996287973357 5.999996616042484 5.999997006385728 5.999997117596331 5.999997684656808 
12,12.000005385404531 12.000006055623860 12.000006445954021 12.000007402190585 12.000008144798626 12.000008264492893 12.000009283814862 
20,20.000063747141724 20.000065652967717 20.000067620530174 20.000069494092134 20.000071738681786 20.000073369385081 20.000075817271327 20.000077134478435 20.000078875095820 
30,30.000265683386381 30.000271509434455 30.000274080075631 30.000277773923784 30.000282057929965 30.000288226854273 30.000292386820998 30.000292753646068 30.000302278947210 30.000311242363555 30.000325288505532 
42,42.000787564434937 42.000796659441619 42.000814099402668 42.000825657160036 42.000828646136171 42.000836758388715 42.000843624861936 42.000859668764207 42.000865993519248 42.000897617784560 42.000899664115629 42.000918940411729 42.000946353385032 
56,56.001856641182634 56.001938514751352 56.001975614820715 56.002028510312158 56.002038311374186 56.002071991783247 56.002081955973523 56.002114668881980 56.002129544490565 56.002142508439050 56.002156325600275 56.002183938052397 56.002192922061610 56.002262579239236 56.002385457157828 
72,72.004102445562154 72.004231496871611 72.004299329108818 72.004314465284864 72.004339940243128 72.004371854608948 72.004447983125189 72.004499761874811 72.004512353095649 72.004549862247373 72.004606774268424 72.004648017983271 72.004657569056363 72.004753924040102 72.004898379182663 72.005060219484008 72.005246979614952 
90,90.008147559304120 90.008289290689902 90.008430241504954 90.008508031158911 90.008632842390767 90.008649507355685 90.008750099555940 90.008832010491929 90.008891804638793 90.008925605341275 90.008951707086737 90.009090240324326 90.009227978643196 90.009301736860593 90.009435848051609 90.009509827024331 90.009679652835089 90.009780732791015 90.010066403621238 
110,110.014858974748364 110.015152156975205 110.015314320181290 110.015363598632817 110.015720112829698 110.015826102272712 110.015934090895115 110.015996438997831 110.016103692063794 110.016311677961752 110.016526663717400 110.016599599482944 110.016871598556349 110.017006466743297 110.017096570944148 110.017235869874824 110.017359537585364 110.017665130092098 110.017853369877713 110.018055684468251 110.018301141806688 
