Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000000 
2,1.994548652408830 1.995857426141299 1.995941655032879 
6,5.985552860655259 5.988741860348923 5.990995031253818 5.994895637176975 5.996299632450254 
12,12.006782918396988 12.016466841460691 12.021742930330856 12.025080124428960 12.031950311412553 12.041062659780042 12.051355614607909 
20,20.144667348461727 20.160772720831872 20.167442073900940 20.204847363705522 20.210039394162518 20.221388099335883 20.248312298938334 20.267262732082663 20.369466967118722 
30,30.437528371989746 30.513025222448210 30.611945975839301 30.651227944974469 30.688330903538660 30.755657504949049 30.832482256263447 30.908732757102456 30.941688228865896 31.138204355421507 31.344625198059649 
42,43.146624612653930 43.341519570125826 43.519176609750730 43.620254170976544 43.680476828677754 43.791280925779539 44.062781961728952 44.221068312484043 44.590734546495710 44.792866534826949 44.898129439714765 45.060752153219163 45.468923412700278 
56,58.743769174182368 59.133893580211286 59.753134051554397 59.833448469432639 60.019211832557154 60.508683457610026 60.731900190794953 60.931870754348616 61.276325332173876 61.398466287249370 61.494064805961081 61.850170425168287 61.940192759111611 62.365886159532081 63.039870579651065 
72,77.756989502964231 78.810761233993077 79.097660202200260 79.590823977761204 79.677400756647828 80.183770236896621 80.641636744913583 
90,81.559797872470241 81.812187165178599 82.326476979357267 82.606361253943575 83.116200628744963 83.298711234425738 83.900040107712755 84.674360567327426 85.265617966363948 86.159721681702138 
110,101.678023408484776 103.157920670647599 103.673955439350536 104.278174332898345 105.023043272830122 105.162745596131998 105.484138190355679 106.739132048213392 106.919362458007740 107.455744331084901 107.980999211506244 108.074230092175426 109.154992430663853 109.715152583226086 110.022096413410509 111.217423889849812 112.874796837435611 114.610856796424812 116.254815187326344 
