Real Eigenvalue,Numerical Eigenvalues
2,1.999999749051730 2.000000075017852 2.000000175929435 
6,6.651143050489232 6.651143183717200 7.425745366390811 7.953926155452972 7.953927349407683 
12,15.056956330190255 15.152474191629034 
20,17.728831557293081 17.728832095335289 22.819301719280162 22.819327567832669 24.287210065045539 24.287227790677388 24.583712393769904 
30,27.726577269313374 28.574781284082583 
42,
56,
72,
90,84.547157205139769 84.547157928065289 87.025019948756963 87.025029095957578 90.218878859221221 99.007116601019447 
110,100.433329096107698 
