Real Eigenvalue,Numerical Eigenvalues
0,0.000000000000036 
2,1.999999999796137 1.999999999796156 2.000000000407872 
6,6.158198869917427 6.158198869917540 6.274011148290904 6.512370897104142 6.512370897104184 
12,12.804644786336636 12.866813713413702 13.866013796248248 13.866013796248305 14.064318390882304 14.064318390882356 14.260198560336256 
20,22.495725271986839 22.495725271986920 24.578102437711113 25.349162196903244 25.816766643330705 25.816766643330734 26.747984972708309 27.335526298801973 27.335526298802019 
30,35.096279003543195 35.096279003543195 39.967413010009679 39.967413010009736 40.177889137139736 42.118622932337622 43.161676993956348 43.161676993956426 49.227279745024532 49.227279745024582 50.000278228713682 
42,51.596227500565767 52.640395314736878 52.640395314736907 56.996056947518291 63.494407865274979 65.645808837274885 65.645808837275013 71.150927480621533 73.942262358179292 73.942262358179363 75.014432624829155 75.014432624829197 81.121298647112013 
56,81.420802376702824 81.420802376702937 82.235197838145012 84.948616878394589 84.948616878394716 86.348217208823257 97.063235919554060 99.168807372390788 99.168807372390802 101.975911855184918 101.975911855184961 108.257329382061897 108.257329382061968 110.492249125425218 112.405173671747832 
72,114.666413099692846 115.695321290199374 115.695321290199416 130.976376407770090 195.408709077797198 198.474898186030572 198.474898186030941 202.943171897529538 202.943171897529595 206.265491199795349 219.211635234263412 225.943735689394316 225.943735689394344 245.920387405279257 245.920387405279399 246.577936706965147 249.272016460006938 
90,261.062756704822505 261.062756704822618 266.624637079995864 266.624637079995921 297.148932675519518 360.818869992367070 360.818869992367638 373.183675549261977 373.183675549262205 406.115098907277115 409.880855512308472 456.035431288293580 456.035431288294149 458.020721258910896 458.020721258911180 473.405823625182279 476.713376663086649 948.834097509647677 948.980939618148568 
