Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000173 
2,2.007843186349237 2.011502957554941 2.011502957555105 
6,6.075670919554523 6.075670919554634 6.135715356147736 6.156541796595119 6.156541796595240 
12,12.272015689239980 12.276711315636048 12.513369682560393 12.513369682560572 12.606750504366294 12.606750504366437 12.654806898918713 
20,20.744836209626850 20.744836209626921 21.152467430616333 21.450784112174027 21.558230394162671 21.558230394162685 21.904936123456743 21.904936123456839 21.929603458440472 
30,31.624132660716345 31.624132660716466 32.715936772197097 32.715936772197182 33.164638711531587 33.249545471682929 34.079695151610927 34.079695151610984 34.417101611307750 34.417101611307800 34.556960548001172 
42,44.821092951634355 45.403573232989388 46.928856572492194 46.928856572492265 47.755215422410004 47.755215422410117 49.269884073058442 49.431241580482627 50.146103360528521 50.146103360528528 50.709623539374014 51.297158046217120 51.297158046217213 
56,61.224948283569404 61.224948283569496 64.191390238042430 64.602785378296034 65.461648055910942 65.461648055911098 68.048898757419394 68.048898757419479 68.240278023946843 70.110103043437249 70.861151493623211 70.861151493623339 72.773034947324220 72.773034947324263 73.678932484623274 
72,80.836564055301025 80.836564055301068 85.262727228496445 85.262727228496516 86.281344793111046 86.788189781503490 90.139248979483980 90.139248979484066 91.229120868292000 91.229120868292043 93.285255666658770 95.921738104344115 95.921738104344229 98.889227824065614 100.161499375997067 102.847041643441528 102.847041643441557 
90,103.505828658757508 104.170026799400091 109.209432011382077 109.209432011382091 111.809507469075299 111.809507469075399 113.273890701849197 117.907964665634921 118.430258916013941 118.430258916014154 121.314074051931996 122.447340017514492 122.447340017514605 127.800287542911335 130.124049457341272 130.124049457341300 132.334316446207424 132.334316446207481 136.691571555067043 
