Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000000017 
2,1.999999999973820 1.999999999973780 1.999999999965670 
6,5.999999999926690 5.999999999926660 5.999999999922530 5.999999999909290 5.999999999909220 
12,12.000000044339600 12.000000078872000 12.000000097346000 12.000000097346000 12.000000101475299 12.000000134192300 12.000000134192399 
20,20.000000473081698 20.000000473081801 20.000000521818901 20.000000728374999 20.000000728375099 20.000000749649399 20.000000855208899 20.000000945663700 20.000000945663800 
30,30.000002046073298 30.000002082752300 30.000002082752399 30.000002463320101 30.000002463320101 30.000003227359901 30.000003227360001 30.000003380573499 30.000003380573499 30.000003399977800 30.000003960627499 
42,42.000005967810097 42.000006327788299 42.000006758438900 42.000006758439000 42.000007233809100 42.000008539138399 42.000008539138499 42.000009610684501 42.000009610684501 42.000009649555800 42.000010922368297 42.000010922368297 42.000011822130197 
56,56.000014811860900 56.000016156643603 56.000016156644200 56.000017673130401 56.000017673134899 56.000019382361600 56.000019382362403 56.000021456036500 56.000022907981503 56.000024376722799 56.000026238000700 56.000026456969103 56.000026456971199 56.000027854310702 56.000027854310801 
72,72.000032387653704 72.000034462171698 72.000034462171797 72.000039446359693 72.000039446360006 72.000040881153495 72.000040881154305 72.000041419189102 72.000050986795202 72.000050986795401 72.000054628563902 72.000055354416602 72.000056296423907 72.000056296424006 72.000059741402296 72.000060988956406 72.000060988956506 
90,90.000065278538102 90.000067059881800 90.000067059881800 90.000074362458506 90.000074362458506 90.000080048722893 90.000083721595402 90.000084308383293 90.000098242713605 90.000098242713705 90.000099440296495 90.000109057781700 90.000109057781799 90.000111081422801 90.000111081422901 90.000115553315098 90.000117392329201 90.000117392329301 90.000125235514503 
